Genre	Phrogs	Conservation
Synechococcus	phrogs_16	0.8915254237288136
Synechococcus	phrogs_19	0.6983050847457627
Synechococcus	phrogs_22	0.8372881355932204
Synechococcus	phrogs_23	0.7220338983050848
Synechococcus	phrogs_45	0.9288135593220339
Synechococcus	phrogs_47	0.6983050847457627
Synechococcus	phrogs_61	0.9050847457627119
Synechococcus	phrogs_77	0.7288135593220338
Synechococcus	phrogs_81	0.7864406779661017
Synechococcus	phrogs_84	0.6610169491525424
Synechococcus	phrogs_85	0.6677966101694915
Synechococcus	phrogs_86	0.6949152542372882
Synechococcus	phrogs_97	0.6813559322033899
Synechococcus	phrogs_138	0.6915254237288135
Synechococcus	phrogs_150	0.8135593220338984
Synechococcus	phrogs_178	0.7627118644067796
Synechococcus	phrogs_207	0.7322033898305085
Synechococcus	phrogs_211	0.7050847457627119
Synechococcus	phrogs_213	0.7322033898305085
Synechococcus	phrogs_218	0.8440677966101695
Synechococcus	phrogs_219	0.6983050847457627
Synechococcus	phrogs_223	0.6779661016949152
Synechococcus	phrogs_224	0.8542372881355932
Synechococcus	phrogs_229	0.6644067796610169
Synechococcus	phrogs_230	0.8169491525423729
Synechococcus	phrogs_231	0.6983050847457627
Synechococcus	phrogs_232	0.8305084745762712
Synechococcus	phrogs_234	0.6813559322033899
Synechococcus	phrogs_249	0.6711864406779661
Synechococcus	phrogs_254	0.688135593220339
Synechococcus	phrogs_261	0.7457627118644068
Synechococcus	phrogs_262	0.576271186440678
Synechococcus	phrogs_274	0.752542372881356
Synechococcus	phrogs_275	0.7932203389830509
Synechococcus	phrogs_298	0.6711864406779661
Synechococcus	phrogs_350	0.7728813559322034
Synechococcus	phrogs_358	0.7220338983050848
Synechococcus	phrogs_375	0.6576271186440678
Synechococcus	phrogs_385	0.6677966101694915
Synechococcus	phrogs_395	0.6033898305084746
Synechococcus	phrogs_402	0.5796610169491525
Synechococcus	phrogs_407	0.6711864406779661
Synechococcus	phrogs_417	0.711864406779661
Synechococcus	phrogs_431	0.6779661016949152
Synechococcus	phrogs_438	0.7254237288135593
Synechococcus	phrogs_440	0.6949152542372882
Synechococcus	phrogs_445	0.7152542372881356
Synechococcus	phrogs_447	0.5932203389830508
Synechococcus	phrogs_451	0.6711864406779661
Synechococcus	phrogs_452	0.6
Synechococcus	phrogs_455	0.6644067796610169
Synechococcus	phrogs_459	0.6745762711864407
Synechococcus	phrogs_460	0.7084745762711865
Synechococcus	phrogs_461	0.6576271186440678
Synechococcus	phrogs_468	0.7491525423728813
Synechococcus	phrogs_470	0.7016949152542373
Synechococcus	phrogs_471	0.6745762711864407
Synechococcus	phrogs_473	0.7288135593220338
Synechococcus	phrogs_475	0.6711864406779661
Synechococcus	phrogs_481	0.6542372881355932
Synechococcus	phrogs_483	0.6542372881355932
Synechococcus	phrogs_484	0.7423728813559322
Synechococcus	phrogs_485	0.6847457627118644
Synechococcus	phrogs_495	0.6949152542372882
Synechococcus	phrogs_500	0.7491525423728813
Synechococcus	phrogs_504	0.6305084745762712
Synechococcus	phrogs_507	0.6406779661016949
Synechococcus	phrogs_515	0.7152542372881356
Synechococcus	phrogs_529	0.6779661016949152
Synechococcus	phrogs_540	0.1694915254237288
Synechococcus	phrogs_552	0.6338983050847458
Synechococcus	phrogs_554	0.6271186440677966
Synechococcus	phrogs_564	0.5796610169491525
Synechococcus	phrogs_568	0.5559322033898305
Synechococcus	phrogs_570	0.5389830508474577
Synechococcus	phrogs_605	0.5525423728813559
Synechococcus	phrogs_624	0.46440677966101696
Synechococcus	phrogs_627	0.6101694915254238
Synechococcus	phrogs_628	0.6169491525423729
Synechococcus	phrogs_634	0.5728813559322034
Synechococcus	phrogs_665	0.5661016949152542
Synechococcus	phrogs_677	0.5491525423728814
Synechococcus	phrogs_818	0.4847457627118644
Synechococcus	phrogs_848	0.376271186440678
Synechococcus	phrogs_878	0.39661016949152544
Synechococcus	phrogs_897	0.44745762711864406
Synechococcus	phrogs_1179	0.29491525423728815
Synechococcus	phrogs_1238	0.03389830508474576
Synechococcus	phrogs_1574	0.1423728813559322
Synechococcus	phrogs_1601	0.16271186440677965
Synechococcus	phrogs_1644	0.1864406779661017
Synechococcus	phrogs_1784	0.17627118644067796
Synechococcus	phrogs_1811	0.17627118644067796
Synechococcus	phrogs_1922	0.21016949152542372
Synechococcus	phrogs_1987	0.12203389830508475
Synechococcus	phrogs_2020	0.17627118644067796
Synechococcus	phrogs_2281	0.15254237288135594
Synechococcus	phrogs_2496	0.14576271186440679
Synechococcus	phrogs_2626	0.11864406779661017
Synechococcus	phrogs_2644	0.1152542372881356
Synechococcus	phrogs_2714	0.1016949152542373
Synechococcus	phrogs_2816	0.003389830508474576
Synechococcus	phrogs_2818	0.13559322033898305
Synechococcus	phrogs_2835	0.10847457627118644
Synechococcus	phrogs_2890	0.10508474576271186
Synechococcus	phrogs_2928	0.08813559322033898
Synechococcus	phrogs_3189	0.09830508474576272
Synechococcus	phrogs_3477	0.1016949152542373
Synechococcus	phrogs_4205	0.03389830508474576
Synechococcus	phrogs_4235	0.06779661016949153
